id,order_number,customer_name,order_date,expected_delivery_date,status,total_amount
281,ORD-2026-0281,Pacific Dynamics Ltd,2026-07-07,2026-07-11,DELIVERED,66895.00
282,ORD-2026-0282,Apex Industrial Solutions,2026-07-10,2026-07-16,SHIPPED,9448.50
283,ORD-2026-0283,Pacific Dynamics Ltd,2026-07-05,2026-07-15,DELIVERED,7140.00
284,ORD-2026-0284,Vanguard Precision Robotics,2026-07-08,2026-07-18,DELIVERED,3777.00
285,ORD-2026-0285,Titan Heavy Industries,2026-08-02,2026-08-06,DELIVERED,21257.00
286,ORD-2026-0286,Omni Logistics Partners,2026-08-25,2026-09-01,DELIVERED,10288.00
287,ORD-2026-0287,Omni Logistics Partners,2026-08-05,2026-08-15,SHIPPED,9678.00
288,ORD-2026-0288,Techtronics Assembly Corp,2026-08-26,2026-09-01,PROCESSING,5510.00
289,ORD-2026-0289,Global Manufacturing Inc,2026-08-17,2026-08-25,SHIPPED,5400.00
290,ORD-2026-0290,Summit Aerospace Parts,2026-08-17,2026-08-23,SHIPPED,37500.00
291,ORD-2026-0291,Omni Logistics Partners,2026-08-04,2026-08-10,SHIPPED,8239.50
292,ORD-2026-0292,Starlight Energy Corp,2026-08-15,2026-08-18,DELIVERED,1506.50
293,ORD-2026-0293,Acme Automation Corp,2026-08-07,2026-08-11,DELIVERED,4914.00
294,ORD-2026-0294,Metro Packaging Logistics,2026-08-02,2026-08-09,DELIVERED,9084.00
295,ORD-2026-0295,Metro Packaging Logistics,2026-08-14,2026-08-22,DELIVERED,14820.50
296,ORD-2026-0296,Starlight Energy Corp,2026-08-06,2026-08-15,DELIVERED,973.50
297,ORD-2026-0297,Starlight Energy Corp,2026-08-15,2026-08-24,DELIVERED,3946.00
298,ORD-2026-0298,Omni Logistics Partners,2026-08-09,2026-08-15,PENDING,6240.00
299,ORD-2026-0299,Techtronics Assembly Corp,2026-08-14,2026-08-17,DELIVERED,312.00
300,ORD-2026-0300,Summit Aerospace Parts,2026-08-02,2026-08-12,PROCESSING,6555.00
301,ORD-2026-0301,Titan Heavy Industries,2026-08-02,2026-08-11,DELIVERED,5337.00
302,ORD-2026-0302,Omni Logistics Partners,2026-08-10,2026-08-16,SHIPPED,10597.50
303,ORD-2026-0303,Quantum Devices LLC,2026-08-10,2026-08-15,SHIPPED,7234.00
304,ORD-2026-0304,Quantum Devices LLC,2026-08-18,2026-08-23,PROCESSING,12748.00
305,ORD-2026-0305,Omni Logistics Partners,2026-08-17,2026-08-25,DELIVERED,53880.00
306,ORD-2026-0306,Vanguard Precision Robotics,2026-08-28,2026-09-03,PENDING,4950.00
307,ORD-2026-0307,Metro Packaging Logistics,2026-08-14,2026-08-19,DELIVERED,11330.00
308,ORD-2026-0308,Acme Automation Corp,2026-08-03,2026-08-09,DELIVERED,30116.00
309,ORD-2026-0309,Titan Heavy Industries,2026-08-22,2026-08-28,DELIVERED,19125.00
